Filled container:
0: Coorinates (848, 1) - 1
5532: Complex number (604, 560) - 582
5533: Coorinates (151, 582) - 582
5534: Complex number (642, 517) - 582
5535: Complex number (789, 239) - 582
5536: Complex number (292, 771) - 582
5537: Coorinates (270, 583) - 583
5538: Complex number (815, 126) - 583
5539: Complex number (368, 738) - 583
5540: Complex number (200, 800) - 583
5541: Complex number (345, 750) - 583
5542: Complex number (785, 253) - 583
5543: Coorinates (363, 583) - 583
5544: Coorinates (58, 583) - 583
5545: Complex number (692, 449) - 583
5546: Complex number (596, 570) - 583
5547: Coorinates (964, 583) - 583
5548: Complex number (349, 747) - 583
5549: Complex number (205, 799) - 583
5550: Complex number (769, 300) - 583
5551: Complex number (483, 669) - 583
5552: Complex number (787, 246) - 583
5553: Complex number (492, 663) - 583
5554: Complex number (72, 822) - 583
5555: Complex number (803, 190) - 583
5556: Complex number (16, 827) - 584
5557: Coorinates (16, 584) - 584
5558: Complex number (827, 2) - 584
5559: Complex number (631, 535) - 584
5560: Complex number (11, 827) - 584
5561: Complex number (676, 475) - 584
5562: Coorinates (915, 584) - 584
5563: Complex number (441, 699) - 584
5564: Coorinates (679, 584) - 584
5565: Coorinates (815, 585) - 585
5566: Coorinates (637, 585) - 585
5567: Coorinates (566, 585) - 585
5568: Complex number (576, 594) - 585
5569: Coorinates (936, 585) - 585
5570: Coorinates (444, 585) - 585
5571: Complex number (262, 786) - 585
5572: Complex number (303, 770) - 585
5573: Complex number (715, 417) - 585
5574: Complex number (795, 230) - 585
5575: Complex number (737, 377) - 585
5576: Complex number (494, 665) - 585
5577: Complex number (816, 143) - 585
5578: Complex number (825, 81) - 586
5579: Complex number (658, 504) - 586
5580: Coorinates (228, 586) - 586
5581: Complex number (588, 584) - 586
5582: Coorinates (839, 586) - 586
5583: Complex number (181, 809) - 586
5584: Coorinates (337, 586) - 586
5585: Coorinates (167, 586) - 586
5586: Complex number (488, 670) - 586
5587: Complex number (122, 821) - 586
5588: Complex number (560, 612) - 586
5589: Coorinates (280, 586) - 586
5590: Complex number (349, 752) - 586
5591: Complex number (276, 782) - 586
5592: Complex number (56, 828) - 586
5593: Complex number (305, 773) - 587
5594: Coorinates (820, 587) - 587
5595: Complex number (794, 245) - 587
5596: Coorinates (834, 587) - 587
5597: Complex number (192, 808) - 587
5598: Coorinates (110, 587) - 587
5599: Complex number (633, 538) - 587
5600: Complex number (663, 500) - 587
5601: Coorinates (551, 587) - 587
5602: Complex number (379, 740) - 587
5603: Complex number (831, 16) - 587
5604: Complex number (741, 377) - 587
5605: Complex number (766, 323) - 587
5606: Coorinates (182, 587) - 587
5607: Coorinates (141, 587) - 587
5608: Coorinates (53, 587) - 587
5609: Complex number (454, 695) - 587
5610: Complex number (290, 778) - 587
5611: Coorinates (753, 588) - 588
5612: Coorinates (687, 588) - 588
5613: Coorinates (956, 588) - 588
5614: Coorinates (358, 588) - 588
5615: Coorinates (150, 588) - 588
5616: Complex number (548, 626) - 588
5617: Coorinates (888, 588) - 588
5618: Complex number (762, 334) - 588
5619: Complex number (460, 694) - 588
5620: Complex number (497, 668) - 588
5621: Complex number (99, 827) - 588
5622: Complex number (437, 708) - 588
5623: Complex number (696, 457) - 588
5624: Complex number (775, 305) - 588
5625: Complex number (340, 760) - 588
5626: Coorinates (928, 589) - 589
5627: Coorinates (854, 589) - 589
5628: Coorinates (180, 589) - 589
5629: Coorinates (857, 589) - 589
5630: Complex number (331, 765) - 589
5631: Complex number (815, 178) - 589
5632: Complex number (310, 774) - 589
5633: Coorinates (845, 589) - 589
5634: Complex number (796, 250) - 589
5635: Complex number (508, 661) - 589
5636: Complex number (377, 744) - 589
5637: Complex number (810, 200) - 589
5638: Complex number (430, 714) - 589
5639: Coorinates (862, 589) - 589
5640: Complex number (823, 133) - 589
5641: Complex number (685, 477) - 590
5642: Complex number (730, 407) - 590
5643: Coorinates (526, 590) - 590
5644: Complex number (10, 835) - 590
5645: Complex number (65, 832) - 590
5646: Complex number (784, 289) - 590
5647: Coorinates (143, 590) - 590
5648: Coorinates (822, 590) - 590
5649: Coorinates (26, 590) - 590
5650: Complex number (197, 812) - 590
5651: Complex number (761, 345) - 590
5652: Complex number (709, 441) - 590
5653: Complex number (733, 402) - 591
5654: Coorinates (31, 591) - 591
5655: Complex number (604, 579) - 591
5656: Complex number (590, 593) - 591
5657: Coorinates (536, 591) - 591
5658: Complex number (346, 761) - 591
5659: Complex number (544, 635) - 591
5660: Complex number (792, 270) - 591
5661: Complex number (832, 82) - 591
5662: Coorinates (30, 591) - 591
5663: Complex number (805, 227) - 591
5664: Complex number (783, 293) - 591
5665: Coorinates (61, 592) - 592
5666: Complex number (799, 253) - 592
5667: Coorinates (476, 592) - 592
5668: Coorinates (749, 592) - 592
5669: Complex number (693, 472) - 592
5670: Coorinates (384, 592) - 592
5671: Coorinates (647, 592) - 592
5672: Complex number (251, 799) - 592
5673: Complex number (703, 457) - 592
5674: Complex number (424, 722) - 592
5675: Complex number (653, 528) - 593
5676: Complex number (316, 777) - 593
5677: Complex number (316, 777) - 593
5678: Complex number (592, 595) - 593
5679: Complex number (816, 197) - 593
5680: Complex number (822, 169) - 593
5681: Coorinates (106, 593) - 593
5682: Complex number (613, 574) - 593
5683: Complex number (706, 455) - 593
5684: Complex number (567, 618) - 593
5685: Coorinates (785, 593) - 593
5686: Coorinates (591, 593) - 593
5687: Complex number (798, 258) - 593
5688: Complex number (828, 136) - 593
5689: Coorinates (37, 593) - 593
5690: Coorinates (391, 594) - 594
5691: Complex number (800, 259) - 594
5692: Complex number (828, 142) - 594
5693: Complex number (196, 817) - 594
5694: Coorinates (486, 594) - 594
5695: Coorinates (841, 594) - 594
5696: Coorinates (603, 594) - 594
5697: Coorinates (462, 594) - 594
5698: Complex number (781, 310) - 594
5699: Complex number (529, 653) - 594
5700: Complex number (822, 178) - 594
5701: Complex number (725, 426) - 594
5702: Coorinates (252, 594) - 594
5703: Complex number (287, 790) - 594
5704: Complex number (727, 423) - 594
5705: Complex number (103, 835) - 594
5706: Coorinates (42, 594) - 594
5707: Coorinates (999, 594) - 594
5708: Coorinates (555, 594) - 594
5709: Complex number (730, 417) - 594
5710: Complex number (49, 841) - 595
5711: Complex number (745, 394) - 595
5712: Coorinates (715, 595) - 595
5713: Complex number (416, 732) - 595
5714: Complex number (832, 126) - 595
5715: Complex number (268, 798) - 595
5716: Complex number (256, 803) - 595
5717: Coorinates (534, 595) - 595
5718: Coorinates (909, 595) - 595
5719: Complex number (250, 804) - 595
5720: Complex number (811, 228) - 595
5721: Complex number (315, 781) - 595
5722: Complex number (556, 633) - 595
5723: Complex number (441, 717) - 595
5724: Coorinates (361, 595) - 595
5725: Complex number (569, 620) - 595
5726: Complex number (34, 841) - 595
5727: Complex number (780, 317) - 595
5728: Complex number (455, 709) - 595
5729: Complex number (725, 430) - 596
5730: Complex number (129, 833) - 596
5731: Complex number (413, 735) - 596
5732: Complex number (763, 360) - 596
5733: Complex number (827, 164) - 596
5734: Complex number (590, 604) - 597
5735: Coorinates (854, 597) - 597
5736: Complex number (773, 341) - 597
5737: Coorinates (756, 597) - 597
5738: Complex number (788, 305) - 597
5739: Complex number (612, 582) - 597
5740: Complex number (681, 500) - 597
5741: Complex number (65, 843) - 597
5742: Coorinates (310, 597) - 597
5743: Complex number (52, 844) - 597
5744: Complex number (786, 310) - 597
5745: Complex number (156, 831) - 597
5746: Coorinates (961, 597) - 597
5747: Complex number (845, 29) - 597
5748: Coorinates (635, 598) - 598
5749: Complex number (738, 414) - 598
5750: Complex number (811, 242) - 598
5751: Complex number (171, 829) - 598
5752: Complex number (845, 51) - 598
5753: Coorinates (245, 598) - 598
5754: Complex number (392, 750) - 598
5755: Complex number (282, 798) - 598
5756: Coorinates (329, 598) - 598
5757: Complex number (772, 347) - 598
5758: Complex number (622, 573) - 598
5759: Coorinates (557, 598) - 598
5760: Complex number (369, 761) - 598
5761: Coorinates (373, 598) - 598
5762: Coorinates (713, 598) - 598
5763: Complex number (160, 831) - 598
5764: Coorinates (719, 598) - 598
5765: Complex number (424, 734) - 599
5766: Complex number (503, 683) - 599
5767: Complex number (309, 790) - 599
5768: Coorinates (940, 599) - 599
5769: Complex number (846, 53) - 599
5770: Coorinates (191, 599) - 599
5771: Complex number (538, 656) - 599
5772: Coorinates (654, 599) - 599
5773: Complex number (546, 648) - 599
5774: Complex number (471, 705) - 599
5775: Coorinates (202, 600) - 600
5776: Complex number (390, 755) - 600
5777: Coorinates (915, 600) - 600
5778: Complex number (819, 223) - 600
5779: Coorinates (416, 600) - 600
5780: Complex number (58, 847) - 600
5781: Complex number (842, 114) - 600
5782: Coorinates (347, 600) - 600
5783: Coorinates (969, 600) - 600
5784: Complex number (372, 763) - 600
5785: Complex number (79, 845) - 600
5786: Coorinates (657, 600) - 600
5787: Complex number (718, 454) - 600
5788: Complex number (391, 756) - 601
5789: Complex number (674, 519) - 601
5790: Complex number (533, 663) - 601
5791: Coorinates (209, 601) - 601
5792: Coorinates (405, 601) - 601
5793: Coorinates (392, 601) - 601
5794: Complex number (585, 617) - 601
5795: Coorinates (728, 601) - 601
5796: Complex number (298, 796) - 601
5797: Complex number (136, 840) - 601
5798: Complex number (169, 834) - 601
5799: Coorinates (654, 601) - 601
5800: Complex number (276, 805) - 601
5801: Complex number (615, 587) - 601
5802: Complex number (595, 607) - 601
5803: Coorinates (250, 601) - 601
5804: Complex number (412, 746) - 602
5805: Coorinates (455, 602) - 602
5806: Complex number (848, 89) - 602
5807: Complex number (851, 40) - 602
5808: Coorinates (963, 602) - 602
5809: Complex number (305, 796) - 602
5810: Coorinates (859, 602) - 602
5811: Complex number (852, 36) - 602
5812: Coorinates (982, 602) - 602
5813: Complex number (754, 397) - 602
5814: Complex number (370, 768) - 602
5815: Coorinates (306, 602) - 602
5816: Coorinates (668, 602) - 602
5817: Complex number (481, 704) - 602
5818: Coorinates (350, 602) - 602
5819: Coorinates (574, 602) - 602
5820: Coorinates (893, 603) - 603
5821: Coorinates (457, 603) - 603
5822: Complex number (691, 500) - 603
5823: Coorinates (573, 603) - 603
5824: Complex number (165, 837) - 603
5825: Complex number (5, 853) - 603
5826: Complex number (37, 853) - 603
5827: Complex number (268, 811) - 603
5828: Complex number (645, 558) - 603
5829: Complex number (507, 686) - 603
5830: Complex number (846, 108) - 603
5831: Complex number (383, 762) - 603
5832: Complex number (396, 758) - 604
5833: Coorinates (100, 604) - 604
5834: Complex number (76, 851) - 604
5835: Coorinates (214, 604) - 604
5836: Complex number (854, 29) - 604
5837: Complex number (715, 468) - 604
5838: Coorinates (353, 604) - 604
5839: Coorinates (791, 604) - 604
5840: Coorinates (914, 604) - 604
5841: Coorinates (768, 604) - 604
5842: Coorinates (302, 604) - 604
5843: Complex number (427, 740) - 604
5844: Complex number (259, 815) - 604
5845: Coorinates (434, 604) - 604
5846: Coorinates (534, 604) - 604
5847: Complex number (164, 839) - 604
5848: Coorinates (368, 604) - 604
5849: Coorinates (993, 604) - 604
5850: Complex number (76, 852) - 604
5851: Complex number (457, 723) - 604
5852: Complex number (845, 126) - 604
5853: Coorinates (567, 604) - 604
5854: Complex number (836, 179) - 604
5855: Complex number (245, 819) - 604
5856: Coorinates (726, 604) - 604
5857: Complex number (491, 699) - 604
5858: Coorinates (320, 604) - 604
5859: Complex number (846, 127) - 604
5860: Complex number (352, 781) - 605
5861: Complex number (743, 426) - 605
5862: Complex number (704, 488) - 605
5863: Complex number (821, 242) - 605
5864: Complex number (834, 193) - 605
5865: Complex number (80, 853) - 605
5866: Coorinates (878, 605) - 605
5867: Complex number (852, 92) - 605
5868: Complex number (128, 846) - 605
5869: Complex number (856, 32) - 605
5870: Complex number (93, 851) - 605
5871: Complex number (460, 723) - 605
5872: Complex number (396, 760) - 605
5873: Complex number (818, 251) - 605
5874: Coorinates (581, 606) - 606
5875: Complex number (703, 491) - 606
5876: Complex number (733, 446) - 606
5877: Complex number (854, 79) - 606
5878: Complex number (786, 343) - 606
5879: Coorinates (408, 606) - 606
5880: Complex number (852, 102) - 606
5881: Complex number (841, 171) - 606
5882: Complex number (194, 835) - 606
5883: Complex number (604, 608) - 606
5884: Complex number (734, 445) - 606
5885: Complex number (813, 273) - 606
5886: Complex number (808, 287) - 606
5887: Coorinates (650, 606) - 606
5888: Coorinates (521, 606) - 606
5889: Coorinates (564, 606) - 606
5890: Complex number (398, 760) - 606
5891: Complex number (149, 845) - 606
5892: Complex number (617, 598) - 607
5893: Complex number (444, 736) - 607
5894: Complex number (617, 597) - 607
5895: Coorinates (476, 607) - 607
5896: Complex number (19, 859) - 607
5897: Complex number (320, 798) - 607
5898: Complex number (646, 567) - 607
5899: Complex number (838, 192) - 607
5900: Coorinates (35, 607) - 607
5901: Complex number (460, 728) - 608
5902: Complex number (36, 860) - 608
5903: Complex number (527, 681) - 608
5904: Coorinates (347, 608) - 608
5905: Complex number (704, 495) - 608
5906: Coorinates (368, 608) - 608
5907: Complex number (858, 68) - 608
5908: Coorinates (158, 608) - 608
5909: Complex number (526, 681) - 608
5910: Complex number (218, 832) - 608
5911: Complex number (677, 532) - 608
5912: Complex number (168, 844) - 608
5913: Coorinates (431, 608) - 608
5914: Coorinates (530, 608) - 608
5915: Complex number (855, 93) - 608
5916: Coorinates (889, 608) - 608
5917: Complex number (570, 647) - 609
5918: Coorinates (882, 609) - 609
5919: Coorinates (152, 609) - 609
5920: Coorinates (970, 609) - 609
5921: Complex number (303, 807) - 609
5922: Coorinates (767, 609) - 609
5923: Complex number (844, 175) - 609
5924: Complex number (747, 429) - 609
5925: Complex number (862, 30) - 609
5926: Complex number (598, 620) - 609
5927: Complex number (535, 676) - 609
5928: Complex number (807, 302) - 609
5929: Complex number (761, 405) - 609
5930: Coorinates (628, 610) - 610
5931: Complex number (271, 819) - 610
5932: Complex number (763, 404) - 610
5933: Coorinates (171, 610) - 610
5934: Complex number (772, 385) - 610
5935: Complex number (826, 252) - 610
5936: Complex number (498, 706) - 610
5937: Coorinates (87, 610) - 610
5938: Coorinates (825, 610) - 610
5939: Coorinates (91, 610) - 610
5940: Complex number (620, 601) - 610
5941: Coorinates (741, 611) - 611
5942: Complex number (721, 477) - 611
5943: Complex number (440, 745) - 611
5944: Coorinates (409, 611) - 611
5945: Complex number (321, 803) - 611
5946: Coorinates (623, 611) - 611
5947: Complex number (763, 408) - 611
5948: Complex number (464, 730) - 611
5949: Coorinates (878, 611) - 611
5950: Complex number (864, 41) - 611
5951: Complex number (833, 234) - 611
5952: Complex number (57, 863) - 611
5953: Complex number (859, 98) - 611
5954: Coorinates (195, 611) - 611
5955: Complex number (602, 621) - 611
5956: Complex number (721, 480) - 612
5957: Complex number (834, 234) - 612
5958: Coorinates (956, 612) - 612
5959: Coorinates (656, 612) - 612
5960: Complex number (144, 854) - 612
5961: Coorinates (382, 612) - 612
5962: Coorinates (242, 612) - 612
5963: Coorinates (658, 612) - 612
5964: Coorinates (563, 612) - 612
5965: Complex number (758, 420) - 612
5966: Coorinates (584, 612) - 612
5967: Coorinates (685, 612) - 612
5968: Coorinates (345, 612) - 612
5969: Coorinates (338, 612) - 612
5970: Coorinates (791, 612) - 612
5971: Complex number (34, 866) - 612
5972: Coorinates (436, 612) - 612
5973: Complex number (862, 92) - 612
5974: Complex number (841, 206) - 612
5975: Coorinates (290, 612) - 612
5976: Coorinates (509, 612) - 612
5977: Coorinates (269, 612) - 612
5978: Complex number (565, 656) - 612
5979: Coorinates (491, 613) - 613
5980: Complex number (483, 721) - 613
5981: Complex number (269, 825) - 613
5982: Complex number (1, 868) - 613
5983: Coorinates (666, 613) - 613
5984: Coorinates (624, 613) - 613
5985: Complex number (837, 228) - 613
5986: Complex number (527, 690) - 613
5987: Complex number (509, 703) - 613
5988: Coorinates (711, 613) - 613
5989: Complex number (499, 709) - 613
5990: Coorinates (187, 613) - 613
5991: Coorinates (456, 613) - 613
5992: Coorinates (509, 613) - 613
5993: Coorinates (768, 613) - 613
5994: Coorinates (774, 613) - 613
5995: Complex number (869, 3) - 614
5996: Coorinates (855, 614) - 614
5997: Complex number (797, 346) - 614
5998: Complex number (295, 818) - 614
5999: Complex number (862, 105) - 614
6000: Complex number (770, 403) - 614
6001: Complex number (168, 852) - 614
6002: Complex number (718, 489) - 614
6003: Complex number (448, 744) - 614
6004: Complex number (425, 758) - 614
6005: Complex number (819, 289) - 614
6006: Complex number (680, 541) - 614
6007: Complex number (80, 865) - 614
6008: Coorinates (235, 614) - 614
6009: Complex number (479, 725) - 614
6010: Complex number (752, 439) - 615
6011: Complex number (106, 864) - 615
6012: Complex number (784, 377) - 615
6013: Coorinates (969, 615) - 615
6014: Complex number (396, 775) - 615
6015: Complex number (218, 842) - 615
6016: Coorinates (350, 615) - 615
6017: Coorinates (909, 615) - 615
6018: Coorinates (887, 615) - 615
6019: Complex number (827, 271) - 615
6020: Coorinates (66, 615) - 615
6021: Coorinates (333, 615) - 615
6022: Complex number (135, 861) - 616
6023: Complex number (850, 192) - 616
6024: Complex number (868, 82) - 616
6025: Complex number (88, 868) - 616
6026: Complex number (867, 97) - 616
6027: Complex number (685, 540) - 616
6028: Complex number (188, 852) - 616
6029: Complex number (853, 178) - 616
6030: Coorinates (553, 616) - 616
6031: Coorinates (240, 616) - 616
6032: Complex number (33, 871) - 616
6033: Complex number (664, 565) - 616
6034: Coorinates (615, 616) - 616
6035: Coorinates (4, 616) - 616
6036: Complex number (359, 795) - 616
6037: Complex number (178, 853) - 616
6038: Complex number (589, 642) - 616
6039: Coorinates (17, 617) - 617
6040: Complex number (717, 499) - 617
6041: Complex number (52, 872) - 617
6042: Complex number (261, 834) - 617
6043: Complex number (634, 601) - 617
6044: Complex number (484, 727) - 617
6045: Complex number (396, 779) - 617
6046: Complex number (53, 871) - 617
6047: Complex number (276, 828) - 617
6048: Coorinates (556, 617) - 617
6049: Complex number (420, 766) - 617
6050: Coorinates (796, 617) - 617
6051: Coorinates (905, 617) - 617
6052: Coorinates (680, 617) - 617
6053: Complex number (520, 701) - 617
6054: Complex number (758, 435) - 617
6055: Coorinates (177, 617) - 617
6056: Complex number (384, 785) - 617
6057: Coorinates (753, 617) - 617
6058: Complex number (867, 110) - 617
6059: Complex number (874, 25) - 618
6060: Coorinates (892, 618) - 618
6061: Coorinates (533, 618) - 618
6062: Coorinates (803, 618) - 618
6063: Complex number (336, 807) - 618
6064: Coorinates (380, 618) - 618
6065: Complex number (422, 766) - 618
6066: Complex number (585, 651) - 618
6067: Coorinates (50, 618) - 618
6068: Complex number (872, 62) - 618
6069: Complex number (428, 763) - 618
6070: Coorinates (343, 618) - 618
6071: Coorinates (52, 618) - 618
6072: Complex number (816, 318) - 619
6073: Complex number (213, 850) - 619
6074: Coorinates (442, 619) - 619
6075: Complex number (795, 369) - 619
6076: Coorinates (268, 619) - 619
6077: Complex number (188, 856) - 619
6078: Complex number (876, 17) - 619
6079: Complex number (820, 307) - 619
6080: Coorinates (650, 619) - 619
6081: Coorinates (769, 619) - 619
6082: Complex number (185, 856) - 619
6083: Coorinates (577, 619) - 619
6084: Complex number (874, 56) - 619
6085: Coorinates (944, 619) - 619
6086: Complex number (769, 419) - 619
6087: Complex number (677, 555) - 619
6088: Complex number (869, 110) - 619
6089: Complex number (664, 574) - 620
6090: Complex number (92, 873) - 620
6091: Coorinates (941, 620) - 620
6092: Coorinates (233, 620) - 620
6093: Coorinates (895, 620) - 620
6094: Complex number (628, 613) - 620
6095: Complex number (790, 382) - 620
6096: Complex number (851, 216) - 620
6097: Complex number (760, 438) - 620
6098: Complex number (632, 608) - 620
6099: Complex number (451, 753) - 620
6100: Complex number (3, 877) - 620
6101: Complex number (870, 115) - 620
6102: Complex number (105, 871) - 620
6103: Complex number (477, 736) - 620
6104: Complex number (671, 565) - 620
6105: Coorinates (591, 620) - 620
6106: Complex number (870, 128) - 621
6107: Complex number (769, 425) - 621
6108: Coorinates (275, 621) - 621
6109: Complex number (443, 759) - 621
6110: Complex number (68, 876) - 621
6111: Complex number (311, 822) - 621
6112: Coorinates (543, 621) - 621
6113: Complex number (878, 21) - 621
6114: Complex number (754, 451) - 621
6115: Complex number (849, 230) - 621
6116: Complex number (338, 812) - 621
6117: Coorinates (170, 621) - 621
6118: Complex number (836, 272) - 621
6119: Complex number (304, 825) - 621
6120: Coorinates (779, 621) - 621
6121: Coorinates (329, 621) - 621
6122: Coorinates (946, 621) - 621
6123: Complex number (329, 815) - 621
6124: Complex number (178, 861) - 621
6125: Complex number (340, 810) - 621
6126: Coorinates (296, 622) - 622
6127: Complex number (874, 103) - 622
6128: Complex number (874, 104) - 622
6129: Complex number (711, 520) - 622
6130: Complex number (765, 435) - 622
6131: Coorinates (586, 622) - 622
6132: Complex number (812, 339) - 622
6133: Complex number (855, 210) - 622
6134: Complex number (59, 878) - 622
6135: Complex number (117, 873) - 622
6136: Coorinates (607, 622) - 622
6137: Complex number (316, 821) - 622
6138: Coorinates (942, 622) - 622
6139: Complex number (176, 863) - 622
6140: Coorinates (422, 623) - 623
6141: Coorinates (606, 623) - 623
6142: Coorinates (262, 623) - 623
6143: Complex number (354, 807) - 623
6144: Coorinates (730, 623) - 623
6145: Complex number (850, 232) - 623
6146: Complex number (853, 225) - 623
6147: Complex number (710, 525) - 624
6148: Complex number (881, 59) - 624
6149: Complex number (461, 753) - 624
6150: Coorinates (171, 624) - 624
6151: Complex number (232, 852) - 624
6152: Complex number (724, 505) - 624
6153: Complex number (730, 498) - 624
6154: Coorinates (716, 624) - 624
6155: Complex number (794, 388) - 624
6156: Coorinates (843, 624) - 624
6157: Complex number (762, 447) - 624
6158: Coorinates (452, 624) - 624
6159: Coorinates (753, 624) - 624
6160: Complex number (788, 400) - 624
6161: Complex number (5, 883) - 624
6162: Complex number (874, 127) - 624
6163: Complex number (116, 875) - 624
6164: Complex number (845, 262) - 625
6165: Complex number (807, 362) - 625
6166: Complex number (885, 22) - 625
6167: Complex number (673, 573) - 625
6168: Complex number (548, 694) - 625
6169: Coorinates (83, 625) - 625
6170: Coorinates (511, 625) - 625
6171: Complex number (670, 577) - 625
6172: Coorinates (420, 625) - 625
6173: Complex number (496, 733) - 625
6174: Coorinates (89, 625) - 625
6175: Coorinates (773, 625) - 625
6176: Coorinates (909, 625) - 625
6177: Complex number (481, 743) - 625
6178: Coorinates (219, 625) - 625
6179: Coorinates (760, 625) - 625
6180: Coorinates (328, 625) - 625
6181: Complex number (757, 459) - 625
6182: Coorinates (169, 625) - 625
6183: Complex number (725, 507) - 625
6184: Coorinates (174, 626) - 626
6185: Complex number (425, 778) - 626
6186: Complex number (339, 819) - 626
6187: Complex number (799, 384) - 626
6188: Complex number (878, 118) - 626
6189: Complex number (326, 824) - 626
6190: Complex number (747, 477) - 626
6191: Coorinates (611, 626) - 626
6192: Coorinates (429, 626) - 626
6193: Coorinates (155, 626) - 626
6194: Coorinates (384, 626) - 626
6195: Complex number (235, 855) - 626
6196: Complex number (885, 39) - 626
6197: Complex number (884, 73) - 627
6198: Complex number (768, 444) - 627
6199: Complex number (754, 468) - 627
6200: Complex number (14, 888) - 627
6201: Coorinates (192, 627) - 627
6202: Coorinates (798, 627) - 627
6203: Complex number (759, 459) - 627
6204: Complex number (789, 407) - 627
6205: Coorinates (448, 627) - 627
6206: Complex number (681, 569) - 627
6207: Complex number (715, 526) - 627
6208: Complex number (855, 238) - 627
6209: Complex number (467, 755) - 627
6210: Complex number (869, 184) - 628
6211: Complex number (688, 563) - 628
6212: Complex number (839, 293) - 628
6213: Complex number (651, 606) - 628
6214: Complex number (245, 854) - 628
6215: Complex number (299, 837) - 628
6216: Complex number (176, 871) - 628
6217: Complex number (151, 877) - 629
6218: Coorinates (895, 629) - 629
6219: Coorinates (433, 629) - 629
6220: Complex number (877, 153) - 629
6221: Coorinates (315, 629) - 629
6222: Complex number (2, 890) - 629
6223: Coorinates (830, 629) - 629
6224: Complex number (137, 879) - 629
6225: Complex number (796, 399) - 629
6226: Complex number (664, 592) - 629
6227: Complex number (846, 283) - 630
6228: Complex number (871, 193) - 630
6229: Complex number (215, 865) - 630
6230: Complex number (568, 688) - 630
6231: Complex number (809, 375) - 630
6232: Complex number (885, 104) - 630
6233: Complex number (842, 295) - 630
6234: Coorinates (213, 630) - 630
6235: Complex number (400, 797) - 630
6236: Complex number (465, 761) - 630
6237: Complex number (447, 772) - 630
6238: Complex number (235, 860) - 630
6239: Complex number (255, 855) - 630
6240: Complex number (875, 172) - 630
6241: Complex number (848, 282) - 631
6242: Complex number (442, 776) - 631
6243: Complex number (461, 765) - 631
6244: Coorinates (926, 631) - 631
6245: Complex number (721, 528) - 631
6246: Complex number (891, 69) - 631
6247: Complex number (804, 388) - 631
6248: Complex number (886, 108) - 631
6249: Complex number (871, 195) - 631
6250: Coorinates (94, 631) - 631
6251: Complex number (873, 185) - 631
6252: Complex number (745, 493) - 631
6253: Coorinates (750, 631) - 631
6254: Complex number (433, 783) - 632
6255: Complex number (735, 511) - 632
6256: Complex number (883, 141) - 632
6257: Coorinates (903, 632) - 632
6258: Complex number (643, 621) - 632
6259: Complex number (474, 758) - 632
6260: Complex number (83, 890) - 632
6261: Coorinates (487, 632) - 632
6262: Coorinates (175, 632) - 632
6263: Complex number (210, 869) - 632
6264: Complex number (830, 332) - 632
6265: Complex number (769, 456) - 632
6266: Coorinates (606, 633) - 633
6267: Complex number (779, 442) - 633
6268: Coorinates (990, 633) - 633
6269: Coorinates (506, 633) - 633
6270: Coorinates (176, 633) - 633
6271: Complex number (806, 392) - 633
6272: Complex number (895, 33) - 633
6273: Complex number (756, 481) - 633
6274: Coorinates (714, 633) - 633
6275: Coorinates (89, 633) - 633
6276: Complex number (539, 716) - 633
6277: Complex number (149, 883) - 633
6278: Complex number (768, 460) - 633
6279: Complex number (803, 396) - 633
6280: Complex number (38, 895) - 633
6281: Coorinates (728, 633) - 633
6282: Complex number (741, 507) - 634
6283: Complex number (229, 868) - 634
6284: Coorinates (33, 634) - 634
6285: Complex number (880, 173) - 634
6286: Coorinates (567, 634) - 634
6287: Complex number (439, 782) - 634
6288: Complex number (655, 614) - 634
6289: Complex number (729, 522) - 634
6290: Complex number (586, 679) - 634
6291: Complex number (894, 73) - 634
6292: Coorinates (200, 634) - 634
6293: Complex number (893, 84) - 634
6294: Coorinates (189, 634) - 634
6295: Coorinates (835, 634) - 634
6296: Complex number (693, 571) - 634
6297: Complex number (894, 72) - 634
6298: Coorinates (132, 634) - 634
6299: Complex number (723, 532) - 634
6300: Complex number (723, 532) - 634
6301: Complex number (601, 666) - 634
6302: Complex number (745, 502) - 635
6303: Coorinates (277, 635) - 635
6304: Complex number (859, 266) - 635
6305: Complex number (887, 145) - 635
6306: Coorinates (629, 635) - 635
6307: Complex number (317, 841) - 635
6308: Complex number (661, 608) - 635
6309: Complex number (99, 893) - 635
6310: Complex number (14, 898) - 635
6311: Complex number (877, 196) - 635
6312: Coorinates (776, 635) - 635
6313: Complex number (744, 504) - 635
6314: Coorinates (450, 635) - 635
6315: Complex number (784, 439) - 635
6316: Complex number (555, 707) - 635
6317: Complex number (524, 730) - 635
6318: Coorinates (347, 636) - 636
6319: Complex number (5, 900) - 636
6320: Complex number (99, 895) - 636
6321: Complex number (720, 541) - 636
6322: Coorinates (470, 636) - 636
6323: Coorinates (390, 636) - 636
6324: Coorinates (572, 636) - 636
6325: Complex number (861, 262) - 636
6326: Complex number (301, 849) - 636
6327: Coorinates (776, 636) - 636
6328: Coorinates (39, 636) - 636
6329: Coorinates (745, 636) - 636
6330: Complex number (751, 497) - 636
6331: Coorinates (516, 636) - 636
6332: Coorinates (37, 636) - 636
6333: Complex number (826, 356) - 636
6334: Complex number (186, 880) - 636
6335: Complex number (613, 660) - 636
6336: Complex number (90, 896) - 636
